lead_id,business_name,city,state_province,country,website,domain,phone,email,specialty,niche,quality_tier,confidence,source,source_wave,enrichment_method,enrichment_confidence
LANEB-MS-001,West Asheville Aesthetics & Wellness,Asheville,NC,USA,https://westashevilleaesthetics.com,westashevilleaesthetics.com,+18284230645,,injectables,MedSpa,B,75,websearch,W99-LaneB,websearch,75
LANEB-MS-002,SkinOvation Advanced Aesthetics,Asheville,NC,USA,https://skinovationnc.com,skinovationnc.com,+18285512442,info@skinovationnc.com,injectables,MedSpa,A,88,websearch,W99-LaneB,websearch,88
LANEB-MS-003,Lush Injectables,Sarasota,FL,USA,https://lushinjectables.com,lushinjectables.com,+19412165115,info@lushinjectables.com,injectables,MedSpa,A,92,websearch,W99-LaneB,websearch,92
LANEB-MS-004,Vita Aesthetics,Sarasota,FL,USA,https://vita-aestheticsfl.com,vita-aestheticsfl.com,+19412290039,info@vita-aesthetics.com,skin,MedSpa,A,90,websearch,W99-LaneB,websearch,90
LANEB-MS-005,Foothills Med Spa,Boise,ID,USA,https://foothillsmedspa.com,foothillsmedspa.com,+12082862327,,injectables,MedSpa,B,80,websearch,W99-LaneB,websearch,80
LANEB-MS-006,OM Med Spa,Boise,ID,USA,https://ommedspa.com,ommedspa.com,+12089172782,info@ommedspa.com,skin,MedSpa,A,85,websearch,W99-LaneB,websearch,85
LANEB-MS-007,Nuance Aesthetics,Salt Lake City,UT,USA,https://nuanceaesthetics.com,nuanceaesthetics.com,+18015575200,,injectables,MedSpa,B,78,websearch,W99-LaneB,websearch,78
LANEB-MS-008,Flawless Aesthetics Med Spa,Chattanooga,TN,USA,https://flawlesschattanooga.com,flawlesschattanooga.com,+14232069500,flawlessofchattanooga@gmail.com,injectables,MedSpa,A,90,websearch,W99-LaneB,websearch,90
LANEB-MS-009,Self Skin Studio,Wilmington,NC,USA,https://selfskinstudio.com,selfskinstudio.com,+19109450123,,skin,MedSpa,B,80,websearch,W99-LaneB,websearch,80
LANEB-MS-010,Sarah Hitchcox Aesthetics,Knoxville,TN,USA,https://hitchcoxaesthetics.com,hitchcoxaesthetics.com,+18652147238,sarah@hitchcoxaesthetics.com,injectables,MedSpa,A,93,websearch,W99-LaneB,websearch,93
LANEB-MS-011,Tonique MedSpa,Tucson,AZ,USA,https://toniquemedspa.com,toniquemedspa.com,+15203084824,info@toniquemedspa.com,injectables,MedSpa,A,92,websearch,W99-LaneB,websearch,92
LANEB-MS-012,Crafted Beauty Med Spa,Spokane,WA,USA,https://craftedbeauty.com,craftedbeauty.com,+15094433594,info@craftedbeautyspokane.com,skin,MedSpa,A,91,websearch,W99-LaneB,websearch,91
