lead_id,business_name,city,state_province,country,website,domain,phone,email,specialty,niche,quality_tier,confidence,source,source_wave,enrichment_method,enrichment_confidence
LANEB-MS-W100-001,Reagan Aesthetics,Charleston,SC,US,https://reaganaesthetics.com,reaganaesthetics.com,(843) 896-3407,info@reaganaesthetics.com,injectables,MedSpa,A,90,WebSearch,W100-LaneB,manual-search,88
LANEB-MS-W100-002,Inject Savannah,Savannah,GA,US,https://injectsavannah.com,injectsavannah.com,(912) 328-1075,admin@injectsavannah.com,injectables,MedSpa,A,95,WebSearch,W100-LaneB,manual-search,95
LANEB-MS-W100-003,Harmonized Aesthetics,Tallahassee,FL,US,https://harmonizedaesthetics.com,harmonizedaesthetics.com,(850) 778-8004,harmonizedaesthetics@gmail.com,injectables,MedSpa,A,90,WebSearch,W100-LaneB,manual-search,90
LANEB-MS-W100-004,SOLISE MedSpa,Pensacola,FL,US,https://solisemedspa.com,solisemedspa.com,,solise@solisemedspa.com,injectables,MedSpa,A,85,WebSearch,W100-LaneB,manual-search,82
LANEB-MS-W100-005,Luminescence Aesthetics,Buffalo,NY,US,https://luminescence-aesthetics.com,luminescence-aesthetics.com,(716) 800-1916,hello@luminescence-aesthetics.com,skin,MedSpa,A,88,WebSearch,W100-LaneB,manual-search,88
LANEB-MS-W100-006,The Beauty Haven Medspa,Pittsburgh,PA,US,https://www.thebeautyhavenmedspa.com,thebeautyhavenmedspa.com,(412) 587-1698,info@thebeautyhavenmedspa.com,injectables,MedSpa,A,90,WebSearch,W100-LaneB,manual-search,92
LANEB-MS-W100-007,Sola Vie Medical Aesthetics,Providence,RI,US,https://www.sola-vie.com,sola-vie.com,(401) 241-3852,sola@sola-vie.com,skin,MedSpa,A,88,WebSearch,W100-LaneB,manual-search,88
LANEB-MS-W100-008,Bravo MedSpa,West Hartford,CT,US,https://www.bravomedspa.com,bravomedspa.com,(860) 478-8877,Bravomedicalaesthetics@yahoo.com,injectables,MedSpa,A,90,WebSearch,W100-LaneB,manual-search,90
LANEB-MS-W100-009,MOTOX Skin Science,South Portland,ME,US,https://motoxskinscience.com,motoxskinscience.com,(207) 200-4380,info@motoxskinscience.com,injectables,MedSpa,A,88,WebSearch,W100-LaneB,manual-search,88
LANEB-MS-W100-010,Aesthetics Med Spa,Reno,NV,US,https://aestheticsmedspa.com,aestheticsmedspa.com,(775) 825-1586,,laser,MedSpa,A,82,WebSearch,W100-LaneB,manual-search,80
LANEB-MS-W100-011,Jewell Aesthetic Med Spa,Eugene,OR,US,https://www.jewellaestheticmedspa.com,jewellaestheticmedspa.com,(541) 683-3238,,injectables,MedSpa,A,88,WebSearch,W100-LaneB,manual-search,85
LANEB-MS-W100-012,Full Spectrum Face + Body,Tacoma,WA,US,https://www.fullspectrumface.com,fullspectrumface.com,(253) 260-7060,,injectables,MedSpa,A,85,WebSearch,W100-LaneB,manual-search,82
LANEB-MS-W100-013,LUMAesthetics,Rochester,NY,US,https://www.lumaesthetics.com,lumaesthetics.com,,,injectables,MedSpa,B,80,WebSearch,W100-LaneB,manual-search,75
LANEB-MS-W100-014,La Bella Medical Aesthetics,Worcester,MA,US,https://labellaaesthetics.net,labellaaesthetics.net,(508) 887-6763,info@labellaaesthetics.net,injectables,MedSpa,A,90,WebSearch,W100-LaneB,manual-search,92
LANEB-MS-W100-015,Skin and Tonic Brighton,Brighton,MI,US,https://skinandtonicbrighton.com,skinandtonicbrighton.com,(810) 522-4799,skinandtonic.online@gmail.com,injectables,MedSpa,A,85,WebSearch,W100-LaneB,manual-search,80
LANEB-MS-W100-016,Organic Glow Medical Aesthetics,Kelowna,BC,CA,https://www.organicglowaesthetics.com,organicglowaesthetics.com,(778) 940-6286,info@ogmakelowna.com,injectables,MedSpa,A,90,WebSearch,W100-LaneB,manual-search,92
LANEB-MS-W100-017,Aesthete Sunshine Coast,Maroochydore,QLD,AU,https://aesthetesunshinecoast.com.au,aesthetesunshinecoast.com.au,+61 7 5379 3171,admin@aesthetesunshinecoast.com.au,wellness,MedSpa,A,90,WebSearch,W100-LaneB,manual-search,92
